id,frame,x [nm],y [nm],sigma [nm],intensity [photon],offset [photon],bkgstd [photon],uncertainty_xy [nm]
1512,2300,1285.881,1277.282,138.9,10756,87,0,2.06
1513,2301,1277.823,1285.078,130.85,9851,101,0,2.03
1514,2302,1283.805,1280.596,133.48,10181,99,0,2.05
1515,2304,1288.443,1276.559,137.33,10437,96,0,2.1
1516,2305,1279.836,1275.197,133.84,10200,96,0,2.04
1517,2306,1282.631,1279.812,132.67,10123,98,0,2.03
1518,2307,1279.514,1290.264,134.28,9829,103,0,2.13
1519,5529,1277.725,1277.633,135.45,28233,103,0,1.09
1520,5530,1273.438,1276.705,137.35,20435,99,0,1.36
1521,5531,1280.362,1279.143,132.78,26920,116,0,1.1
1522,5532,1270.178,1273.459,131.69,27012,123,0,1.1
1523,5533,1281.077,1286.907,135.95,28450,101,0,1.09
1524,5534,1275.676,1280.612,131.48,26679,119,0,1.09
1525,5535,1275.862,1282.037,133.38,27396,112,0,1.1
1526,5536,1281.978,1272.558,134.32,27560,110,0,1.1
1527,5537,1276.848,1281.724,132.78,27541,107,0,1.08
1528,5538,1278.508,1283.827,137.37,28466,95,0,1.1
1529,5745,1276.109,1278.382,136.41,15127,93,0,1.68
1530,5747,1287.625,1282.841,137.1,15631,86,0,1.59
1531,5748,1282.141,1280.374,130,14156,110,0,1.59
1532,5751,1268.025,1285.411,134.94,15101,92,0,1.58
1533,5752,1279.55,1279.49,133.07,14389,106,0,1.63
1534,6259,1273.284,1271.162,133.07,19976,103,0,1.31
1535,6260,1289.693,1286.387,127.7,11083,114,0,1.84
1536,6261,1274.945,1268.942,132.09,19937,106,0,1.31
1537,6262,1280.203,1285.117,139.29,22010,83,0,1.3
1538,6263,1274.803,1282.183,133.23,20197,105,0,1.31
1539,6265,1274.975,1286.096,133.52,20405,104,0,1.3
1540,6266,1282.873,1276.617,138.98,21911,80,0,1.3
1541,6267,1285.363,1291.58,131.1,19436,114,0,1.33
1542,6268,1275.563,1286.09,131.73,19819,108,0,1.31
1543,6269,1282.644,1279.741,133.21,19823,115,0,1.34
1544,6270,1292.034,1284.896,133.75,19996,110,0,1.35
1545,6271,1277.608,1286.351,134.72,21497,85,0,1.25
1546,6272,1283.16,1277.814,131.54,19900,111,0,1.31
1547,6273,1281.935,1266.214,134.55,20667,103,0,0.8
1548,6274,1272.549,1286.797,134.01,20755,101,0,1.29
1549,6275,1280.83,1273.82,134.87,20136,110,0,1.35
1550,2303,1276.38,1266.397,133.88,9979,94,0,2.13
1551,5749,1274.584,1283.904,135.26,14699,100,0,1.64
1552,5750,1285.792,1280.016,131.3,14723,102,0,1.56
1553,5753,1271.295,1273.849,137.31,15154,90,0,1.62
1554,6264,1273.024,1280.465,135.61,21167,92,0,1.29
1555,490,1278.202,1279.072,134.79,33386,108,0,1
1556,497,1268.847,1279.04,131.61,32886,117,0,0.98
1557,972,1284.05,1269.516,133.42,8784,95,0,2.27
1558,3627,1284.613,1282.112,134.59,16858,93,0,1.51
1559,3630,1270.112,1282.123,136.94,17355,90,0,1.53
1560,3948,1288.582,1276.342,132.75,25300,121,0,1.17
1561,3629,1272.98,1279.05,138.24,17566,82,0,1.49
1562,469,1277.958,1291.513,134.61,33638,106,0,0.99
1563,470,1277.655,1273.885,132.56,16803,109,0,1.49
1564,471,1268.013,1270.526,132.9,32773,121,0,1
1565,472,1282.09,1276.006,135.85,34254,97,0,0.99
1566,473,1286.023,1269.314,135.81,34476,97,0,0.98
1567,474,1285.592,1277.28,134.93,34010,102,0,0.98
1568,475,1283.982,1281.949,134.41,33741,103,0,0.98
1569,476,1284.583,1279.532,135.37,34349,101,0,0.98
1570,477,1280.693,1279.881,135.62,33820,110,0,1
1571,478,1276.267,1278.428,134.18,33349,111,0,1
1572,479,1293.353,1279.07,132.43,32605,115,0,0.99
1573,480,1279.699,1274.295,132.44,33275,113,0,0.98
1574,481,1278.889,1277.214,130.57,31761,134,0,1
1575,482,1273.169,1289.579,136.49,34932,90,0,0.93
1576,483,1278.265,1281.969,136.54,34808,88,0,0.98
1577,484,1281.156,1284.947,133.52,33758,114,0,0.98
1578,485,1274.003,1286.891,135.78,34034,102,0,0.99
1579,486,1275.349,1274.726,132.76,32753,121,0,0.99
1580,487,1280.501,1276.927,132.46,32844,112,0,0.98
1581,488,1270.583,1276.804,132.81,33399,116,0,1
1582,489,1285.384,1284.456,133.75,33206,115,0,0.99
1583,491,1278.598,1278.697,134.35,33936,107,0,0.98
1584,492,1279.192,1270.029,133.38,34023,99,0,0.96
1585,493,1284.345,1276.724,133.76,33313,118,0,1.02
1586,494,1285.341,1286.975,134.2,33767,112,0,0.98
1587,495,1278.932,1286.264,133.76,33866,105,0,0.97
1588,496,1284.75,1282.832,135.15,34197,100,0,0.98
1589,498,1278.874,1284.273,135.03,34020,107,0,0.99
1590,499,1281.942,1289.899,135.47,33943,105,0,1.02
1591,500,1282.536,1275.971,130.58,32288,129,0,0.99
1592,501,1277.349,1274.984,131.11,32116,133,0,0.99
1593,502,1283.828,1275.31,133.16,33854,108,0,0.97
1594,503,1288.87,1282.279,131.49,32547,126,0,0.99
1595,504,1274.389,1276.256,137.34,34633,94,0,1
1596,505,1278.04,1279.205,133.02,32898,125,0,1
1597,506,1276.012,1284.2,130.39,32118,138,0,0.99
1598,969,1285.964,1288.059,129.85,8100,101,0,2.35
1599,971,1283.451,1275.931,132.88,8156,102,0,2.4
1600,973,1279.84,1274.043,135.29,8619,100,0,2.37
1601,974,1281.296,1275.907,133.7,8649,93,0,2.29
1602,3945,1275.192,1280.523,132.22,25377,112,0,1.17
1603,3946,1276.417,1280.005,129.9,12114,106,0,1.77
1604,3947,1281.661,1272.784,135.92,26525,97,0,1.18
1605,3949,1279.956,1286.782,134.57,26326,102,0,1.14
1606,3950,1276.321,1278.809,136.37,26387,104,0,1.17
1607,3951,1284.163,1279.593,134.54,27013,101,0,1.12
1608,4875,1278.638,1280.809,131.81,20160,118,0,1.33
1609,4876,1283.096,1287.336,139.69,11878,85,0,1.96
1610,4877,1283.764,1279.363,133.33,21238,96,0,1.33
1611,4878,1283.605,1288.355,134.87,21694,96,0,1.3
1612,4879,1277.54,1274.23,135.24,21085,103,0,1.32
1613,4880,1276.741,1275.069,134.19,21337,99,0,1.3
1614,4881,1277.211,1281.15,129.53,19858,125,0,1.31
1615,4882,1275.808,1285.13,132.49,20903,104,0,1.28
1616,4883,1283.139,1281.525,138.17,21968,87,0,1.31
1617,4884,1275.633,1267.574,133.29,20383,111,0,1.33
1618,4885,1282.379,1281.746,136.11,21030,106,0,1.48
1619,5049,1273.603,1275.833,138.14,19944,93,0,1.4
1620,5050,1268.75,1280.466,136.38,15757,98,0,1.63
1621,5051,1290.033,1273.997,132.03,18822,109,0,1.37
1622,5052,1269.396,1277.038,136.41,20255,88,0,1.35
1623,5053,1273.776,1282.845,134.43,19056,102,0,1.4
1624,1748,1276.359,1281.19,130.59,8930,104,0,2.18
1625,444,1284.593,1279.361,134.27,19083,101,0,1.37
1626,447,1276.746,1281.639,130.09,17639,121,0,1.4
1627,448,1279.366,1286.31,136.79,20073,91,0,1.35
1628,449,1284.697,1278.004,132.94,18670,113,0,1.36
1629,450,1280.286,1282.251,139.19,20230,83,0,1.37
1630,452,1274.554,1289.663,131.89,18547,113,0,1.38
1631,453,1270.086,1280.76,130.51,18278,116,0,1.38
1632,454,1282.064,1285.971,134.22,19672,101,0,1.34
1633,455,1274.368,1276.217,135.74,19398,103,0,1.39
1634,456,1283.336,1281.931,134.34,18459,113,0,1.42
1635,457,1288.391,1284.131,126.89,17485,128,0,1.37
1636,458,1278.726,1278.742,130.95,18139,119,0,1.39
1637,459,1282.956,1286.131,132.69,18329,108,0,1.4
1638,460,1280.89,1280.938,139.01,20480,89,0,1.37
1639,461,1283.037,1286.122,136.08,19827,91,0,1.35
1640,462,1277.771,1280.943,128.54,17860,124,0,1.37
1641,464,1279.648,1276.767,137.65,19435,100,0,1.41
1642,1702,1291.187,1282.868,131.76,29819,117,0,1.03
1643,1703,1288.498,1280.503,130.63,28965,130,0,1.04
1644,1704,1276.841,1278.901,132.76,29932,118,0,1.04
1645,1705,1275.629,1276.331,135.78,31783,92,0,1.01
1646,1706,1276.005,1280.474,133.53,30854,116,0,1.03
1647,1745,1287.698,1274.518,136.87,9527,93,0,2.21
1648,1746,1278.357,1275.047,140.9,5917,81,0,3.27
1649,1747,1278.058,1273.475,133.13,8987,101,0,2.3
1650,1749,1283.223,1278.379,132.01,8911,106,0,2.23
1651,1750,1281.131,1279.937,139.17,10071,89,0,2.17
1652,1751,1278.716,1283.65,139.82,10068,88,0,2.27
1653,1752,1278.352,1283.433,142.47,10628,83,0,2.26
1654,1753,1276.595,1284.265,139.81,10294,79,0,2.11
1655,1754,1281.204,1277.367,133.84,9512,92,0,2.23
1656,2269,1271.019,1276.569,135.66,28447,111,0,1.1
1657,4067,1285.569,1278.948,132.87,31261,112,0,1.01
1658,4068,1291.294,1281.059,129.75,15458,113,0,1.51
1659,4069,1287.575,1276.534,132.67,31339,114,0,1
1660,5022,1280.011,1281.137,132.18,17573,104,0,1.41
1661,5194,1273.574,1272.859,133.52,15400,91,0,1.62
1662,5195,1271.405,1276.882,133.59,6605,101,0,2.79
1663,5196,1285.095,1288.856,134.44,15400,100,0,1.57
1664,5197,1280.967,1271.193,134.72,14890,103,0,1.62
1665,5198,1280.029,1273.541,129.7,14403,111,0,1.58
1666,5199,1280.818,1275.376,136.5,15650,98,0,1.59
1667,5200,1280.266,1277.943,133.57,15579,102,0,1.64
1668,5202,1280.731,1279.898,132.32,15014,102,0,1.56
