id,frame,x [nm],y [nm],sigma [nm],intensity [photon],offset [photon],bkgstd [photon],uncertainty_xy [nm]
0,528,1279.39,1274.947,128.84,13713,115,0,1.68
1,532,1280.391,1278.664,133.18,14446,103,0,1.62
2,533,1280.063,1276.608,130.82,13951,111,0,1.63
3,746,1279.36,1276.46,131.21,6878,118,0,2.72
4,3662,1277.451,1277.615,134.48,23585,98,0,1.2
5,394,1281.387,1280.033,133.7,38625,107,0,0.89
6,395,1280.449,1279.926,133.47,36292,117,0,0.93
7,396,1282.574,1278.89,133.33,38128,109,0,0.9
8,397,1279.616,1281.175,134.19,38725,110,0,0.9
9,525,1281.485,1279.56,130.24,13873,112,0,1.63
10,527,1279.398,1281.414,135.48,14676,96,0,1.64
11,529,1280.263,1282.167,135.39,14638,103,0,1.65
12,530,1279.873,1280.033,136.86,15236,93,0,1.62
13,531,1280.927,1280.664,132.24,14306,104,0,1.62
14,534,1279.412,1277.96,136.15,15575,84,0,1.62
15,535,1276.816,1281.046,134.21,14395,104,0,1.65
16,748,1278.229,1281.629,127.63,6889,110,0,2.55
17,3660,1279.444,1283.051,132.01,22875,113,0,1.21
18,3661,1277.023,1283.092,131.5,13045,104,0,1.7
19,3663,1280.58,1278.817,134.21,22584,113,0,1.26
20,3664,1280.161,1282.238,132.33,23137,111,0,1.2
21,7177,1282.113,1281.53,136.99,23148,103,0,1.25
22,7178,1276.488,1279.297,135.2,14665,100,0,1.64
23,7179,1279.341,1280.643,134.97,22941,100,0,1.23
24,749,1283.894,1278.915,131.99,7441,100,0,2.51
25,6887,1273.359,1274.101,135.69,9237,92,0,2.22
26,2342,1279.868,1279.997,135.55,23253,96,0,1.24
27,2343,1279.523,1279.2,134.45,11797,97,0,1.88
28,2344,1280.899,1279.535,134.04,22597,109,0,1.28
29,2345,1281.014,1278.37,133.38,22457,110,0,1.25
30,2346,1281.162,1282.065,133.54,22130,111,0,1.27
31,2347,1278.661,1283.112,132.17,22262,109,0,1.25
32,2348,1279.922,1279.031,136.66,23590,96,0,1.23
33,2349,1279.141,1281.765,133.19,22775,103,0,1.22
34,2350,1279.544,1274.298,132.46,22329,110,0,1.26
35,2351,1281.029,1280.118,137.77,23719,89,0,1.25
36,2352,1280.046,1277.826,136.05,23678,94,0,1.23
37,3852,1277.33,1280.874,138.77,17265,87,0,1.53
38,6690,1278.988,1278.04,131.94,17719,106,0,1.42
39,6890,1279.125,1278.946,136.69,9540,92,0,2.22
40,6891,1281.467,1277.396,136.08,9415,93,0,2.22
41,6894,1278.484,1278.099,133.13,8555,107,0,2.39
42,7058,1280.526,1279.092,135.51,13622,103,0,1.78
43,7060,1277.908,1279.12,136.29,14201,91,0,1.76
44,7061,1276.574,1283.155,137.68,14355,93,0,1.75
45,7063,1281.346,1279.675,130.61,12980,110,0,1.72
46,7064,1281.685,1282.671,131.86,13316,110,0,1.74
47,7065,1278.539,1281.32,133.81,13925,95,0,1.7
48,7067,1278.895,1279.865,136.28,13758,105,0,1.76
49,7066,1284.473,1275.905,132.22,13539,100,0,1.76
50,6889,1283.088,1282.702,125.83,8096,113,0,2.25
51,6892,1281.121,1282.485,143.85,10975,69,0,2.15
52,6893,1279.93,1282.538,131.21,8783,108,0,2.26
53,7059,1278.554,1283.33,134.22,6722,101,0,2.8
54,7062,1283.617,1281.968,136.15,13900,96,0,1.73
55,7068,1281.921,1281.129,136.15,13647,99,0,1.76
56,294,1277.83,1278.023,136.83,17212,91,0,1.52
57,295,1279.533,1281.448,147.63,7331,76,0,3
58,299,1280.998,1278.646,132.74,16694,100,0,1.5
