id,frame,x [nm],y [nm],sigma [nm],intensity [photon],offset [photon],bkgstd [photon],uncertainty_xy [nm]
0,528,1260.413,1253.344,128.84,13713,115,0,1.68
1,532,1272.379,1269.757,133.18,14446,103,0,1.62
2,533,1270.391,1269.985,130.82,13951,111,0,1.63
3,746,1267.185,1274.596,131.21,6878,118,0,2.72
4,3662,1290.574,1267.849,134.48,23585,98,0,1.2
5,394,1289.499,1277.461,133.7,38625,107,0,0.89
6,395,1273.51,1273.209,133.47,36292,117,0,0.93
7,396,1278.62,1278.64,133.33,38128,109,0,0.9
8,397,1284.48,1280.519,134.19,38725,110,0,0.9
9,525,1283.645,1287.299,130.24,13873,112,0,1.63
10,527,1287.967,1287.21,135.48,14676,96,0,1.64
11,529,1253.804,1288.484,135.39,14638,103,0,1.65
12,530,1277.532,1290.856,136.86,15236,93,0,1.62
13,531,1290.673,1280.337,132.24,14306,104,0,1.62
14,534,1265.749,1274.896,136.15,15575,84,0,1.62
15,535,1270.555,1270.476,134.21,14395,104,0,1.65
16,748,1276.727,1286.704,127.63,6889,110,0,2.55
17,3660,1290.541,1273.745,132.01,22875,113,0,1.21
18,3661,1274.661,1282.356,131.5,13045,104,0,1.7
19,3663,1275.925,1276.854,134.21,22584,113,0,1.26
20,3664,1295.266,1275.038,132.33,23137,111,0,1.2
21,7177,1282.409,1272.638,136.99,23148,103,0,1.25
22,7178,1281.13,1290.199,135.2,14665,100,0,1.64
23,7179,1256.355,1274.246,134.97,22941,100,0,1.23
24,749,1268.696,1279.673,131.99,7441,100,0,2.51
25,6887,1275.787,1270.471,135.69,9237,92,0,2.22
26,2342,1275.147,1286.781,135.55,23253,96,0,1.24
27,2343,1287.89,1268.381,134.45,11797,97,0,1.88
28,2344,1289.534,1271.929,134.04,22597,109,0,1.28
29,2345,1298.132,1268.888,133.38,22457,110,0,1.25
30,2346,1268.163,1278.776,133.54,22130,111,0,1.27
31,2347,1275.643,1277.153,132.17,22262,109,0,1.25
32,2348,1273.188,1276.246,136.66,23590,96,0,1.23
33,2349,1287.666,1280.255,133.19,22775,103,0,1.22
34,2350,1289.116,1291.407,132.46,22329,110,0,1.26
35,2351,1314.235,1280.747,137.77,23719,89,0,1.25
36,2352,1281.136,1281.445,136.05,23678,94,0,1.23
37,3852,1282.045,1291.975,138.77,17265,87,0,1.53
38,6690,1267.937,1258.065,131.94,17719,106,0,1.42
39,6890,1281.942,1284.48,136.69,9540,92,0,2.22
40,6891,1267.799,1269.97,136.08,9415,93,0,2.22
41,6894,1264.805,1286.404,133.13,8555,107,0,2.39
42,7058,1280.882,1288.713,135.51,13622,103,0,1.78
